uniqID,strain,cmpd,dose,time,cmp_cond,cmp1,cmp2,comparison,FC1,FC2,FCdiff,P1,P2,Pdiff,Q1,Q2,Qdiff,signf1,signf2,effect1,effect2,thrsh,signf,effect
g0001,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.00417118764777058,-0.05990519420418128,0.0557340065564107,0.011895945989442902,0.18950707853232068,-0.17761113254287778,0.005574849507535714,0.010528089885688827,-0.004953240378153113,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0002,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,0.02423195678095169,-0.05155832654302017,0.07579028332397186,0.06899299677571322,0.24195403577987512,-0.1729610390041619,0.010459680928219342,0.010528089885688827,-0.00006840895746948461,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0003,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.004985110428240347,0.01845684138849535,-0.023441951816735696,0.011532343226459362,0.07310291799686824,-0.06157057477040888,0.005574849507535714,0.010528089885688827,-0.004953240378153113,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0004,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.025483040411996782,-0.023844144440877457,-0.0016388959711193252,0.05500419874419233,0.08239358915929462,-0.027389390415102292,0.010459680928219342,0.010528089885688827,-0.00006840895746948461,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0005,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,0.10196257319839752,0.08553725162791359,0.01642532157048393,0.3006584535939131,0.23983985278635228,0.060818600807560796,0.01241913387020083,0.010528089885688827,0.0018910439845120034,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0006,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,0.020734565507807723,0.2117001623899455,-0.19096559688213777,0.05439139455709502,0.6835578315405655,-0.6291664369834704,0.010459680928219342,0.014041990127576617,-0.0035823091993572743,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0007,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,0.01886891845317784,0.13978300207163308,-0.12091408361845524,0.02339811805070491,0.1951301027628138,-0.1717319847121089,0.005574849507535714,0.010528089885688827,-0.004953240378153113,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0008,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.14089131306343994,-0.036467012894535245,-0.1044243001689047,0.88007888366944,0.10400927299196479,0.7760696106774752,0.01241913387020083,0.010528089885688827,0.0018910439845120034,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0009,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.056250640819659026,-0.07839431571284372,0.022143674893184695,0.11969700764199932,0.3659610681963074,-0.2462640605543081,0.01241913387020083,0.010528089885688827,0.0018910439845120034,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0010,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,-0.15115960128467787,-0.3185722988578563,0.16741269757317845,0.31126057495306686,0.6645919579557678,-0.3533313830027009,0.01241913387020083,0.014041990127576617,-0.0016228562573757863,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
g0011,WT,,1.25,0,cmpd,drugA | DMSO,drugB | DMSO,drugA | drugB,0.05562275422761154,0.024965416382608296,0.03065733784500324,0.12688623830478,0.06086865197692168,0.06601758632785831,0.01241913387020083,0.010528089885688827,0.0018910439845120034,false,false,none,none,"marginal gaussian (robust), per-axis q < 0.01",false,none
