uniqID,cmpd,dose,time,cmp_cond,comparison,mean1,mean2,sd1,sd2,log2FC,pP,pQ,thrsh,signf,effect
g0159,E28,0.04,72,cmpd,E28 | DMSO,900.5856342412536,803.2200515575427,63.063780192594514,152.79825990459278,0.16506817947876584,0.38490265918106203,0.08660571451701261,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.08,72,cmpd,E28 | DMSO,820.0360251935227,803.2200515575427,133.59850975972267,152.79825990459278,0.029892005367361918,0.04907618473630631,0.04907618473630631,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.16,6,cmpd,E28 | DMSO,902.2328668664676,838.0327968187003,79.64772470745113,128.7450451911582,0.10649313643587277,0.2841350908187344,0.1554991756783742,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.16,24,cmpd,E28 | DMSO,864.1551262873562,872.492584066191,49.944500380015945,83.23476737030353,-0.01385255205557634,0.05054080030197603,0.027291032486165483,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.16,72,cmpd,E28 | DMSO,867.2698530164176,803.2200515575427,94.43441234795272,152.79825990459278,0.1106856760638486,0.2329482896953426,0.10649124792209583,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0159,E28,0.3,72,cmpd,E28 | DMSO,921.1567183124583,803.2200515575427,28.92721413606905,152.79825990459278,0.19765134078539326,0.471095335004403,0.27261902490410517,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.04,72,cmpd,E28 | DMSO,174.87671198324077,280.87329560137425,86.95265394059119,84.67937337677816,-0.6835812839022557,0.6104532909342484,0.08848495870964905,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.08,72,cmpd,E28 | DMSO,168.44074146981757,280.87329560137425,7.663212461964492,84.67937337677816,-0.7376783335297743,1.018583046681086,0.5615697700102283,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.16,6,cmpd,E28 | DMSO,254.20439252320932,245.0041294692294,59.09389538603577,88.00213691161012,0.05318289398432885,0.05074064121001153,0.030462846222950417,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.16,24,cmpd,E28 | DMSO,148.449699789794,231.18422326974132,55.75995725112884,49.941794638995646,-0.6390687714405576,0.7716461719530041,0.06533650840176775,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.16,72,cmpd,E28 | DMSO,213.96705922080884,280.87329560137425,30.57145784196568,84.67937337677816,-0.3925307577440078,0.5900907160235442,0.1532206666026968,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0619,E28,0.3,72,cmpd,E28 | DMSO,184.88373293854283,280.87329560137425,54.266190391728784,84.67937337677816,-0.6033011705666054,0.7949551476046783,0.2883507869918377,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.04,72,cmpd,E28 | DMSO,4428.566772668297,3748.133089832952,1004.1476055483521,391.0684644385069,0.24066769002115151,0.4738358400736662,0.08848495870964905,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.08,72,cmpd,E28 | DMSO,4790.275964783921,3748.133089832952,897.0469170335205,391.0684644385069,0.35393658955456786,0.8605510965715749,0.47520021520755773,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.16,6,cmpd,E28 | DMSO,4334.97995067883,5723.685822607739,388.9027113808712,1980.6965781214742,-0.4009191626439286,0.5273385449104074,0.16830557431235138,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.16,24,cmpd,E28 | DMSO,4155.194054097419,4715.553035577983,750.4801543740335,1173.8268316413933,-0.18251112402961134,0.28477466470036733,0.06533650840176775,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.16,72,cmpd,E28 | DMSO,3566.5156774354646,3748.133089832952,142.06474224065468,391.0684644385069,-0.07165686628314383,0.29615145920681835,0.10649124792209583,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0663,E28,0.3,72,cmpd,E28 | DMSO,4078.9204033960746,3748.133089832952,213.00770417935888,391.0684644385069,0.12201517290468011,0.5232622302023316,0.27261902490410517,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.04,72,cmpd,E28 | DMSO,210.86840231320215,155.97462782724938,54.78571658291891,41.02449450965795,0.4350315629234087,0.6371039345971912,0.08848495870964905,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.08,72,cmpd,E28 | DMSO,191.73356742458685,155.97462782724938,52.1491782118028,41.02449450965795,0.2977915694663622,0.3998303360353663,0.24856266070471722,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.16,6,cmpd,E28 | DMSO,121.62195798252381,201.36712977816322,13.301898437116282,95.87852230521987,-0.7274244831582131,0.6912215855459157,0.16830557431235138,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.16,24,cmpd,E28 | DMSO,172.5175812224663,157.97309947662853,20.41518447962846,52.3070829903687,0.12706448474961451,0.15551313875085576,0.06533650840176775,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.16,72,cmpd,E28 | DMSO,129.0776963480492,155.97462782724938,17.52628672835126,41.02449450965795,-0.27307163164218906,0.4571955154252025,0.12983658103887213,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0706,E28,0.3,72,cmpd,E28 | DMSO,132.29813253136592,155.97462782724938,37.483949407419274,41.02449450965795,-0.2375186697632481,0.29939011274167643,0.18288454367023924,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.04,72,cmpd,E28 | DMSO,285.82300958074785,223.206572151677,96.28968044175434,14.741832824272272,0.3567425553652983,0.48053677360187896,0.08848495870964905,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.08,72,cmpd,E28 | DMSO,302.6885722138939,223.206572151677,12.185429596426154,14.741832824272272,0.43945470141931064,2.3284143431038613,1.0979654217255874,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.16,6,cmpd,E28 | DMSO,248.0483978589484,287.9255837115719,41.00014789778254,30.045741206138047,-0.21507434677075654,0.5703558609558426,0.16830557431235138,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.16,24,cmpd,E28 | DMSO,225.098573104529,242.3686595357375,6.4332823453801655,7.076169767086969,-0.10664624572215242,1.4549759653772896,0.551885978385346,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.16,72,cmpd,E28 | DMSO,216.49369115592387,223.206572151677,20.092326250146943,14.741832824272272,-0.04405452289717626,0.1745705436462586,0.10649124792209583,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0741,E28,0.3,72,cmpd,E28 | DMSO,220.6597122407088,223.206572151677,16.00907762622681,14.741832824272272,-0.016556258573542593,0.07087735411010129,0.07087735411010129,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.04,72,cmpd,E28 | DMSO,224.80014631659364,208.14818587467119,22.167767758024738,40.98202548369089,0.11103198991571706,0.16733925653342893,0.06079922526483743,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.08,72,cmpd,E28 | DMSO,229.09299386324275,208.14818587467119,34.015792309127036,40.98202548369089,0.13832235406789373,0.20519098124658772,0.14535784712554478,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.16,6,cmpd,E28 | DMSO,243.53121168426273,231.01929406290304,37.55472141339026,27.26793365773688,0.07609333785584393,0.1777456857445277,0.09342480004449177,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.16,24,cmpd,E28 | DMSO,212.05566833776706,225.6221007873929,13.353504945019251,23.143274843578432,-0.08946534638951142,0.364394369983502,0.06533650840176775,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.16,72,cmpd,E28 | DMSO,221.95479856265658,208.14818587467119,23.30760273157655,40.98202548369089,0.09265491476011878,0.1375798535101765,0.10649124792209583,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0772,E28,0.3,72,cmpd,E28 | DMSO,220.10060907825638,208.14818587467119,26.813509504730426,40.98202548369089,0.08055215290834106,0.11710829562755158,0.07087735411010129,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0791,E28,0.04,72,cmpd,E28 | DMSO,155.2332538641618,404.2667090270423,39.07998322985529,218.0956038504027,-1.3808697610854024,1.1343791116459525,0.08848495870964905,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",False,none
g0791,E28,0.08,72,cmpd,E28 | DMSO,95.83624544870499,404.2667090270423,38.106353712811334,218.0956038504027,-2.076664109694537,1.6242824699058198,0.7096567655879596,"linear, log2FC ∉ (-1.0, 1.0) and pP > 1.3",True,down
